Rk,Player,M_serve,M_W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,M_return,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,M_more,DR,Points,TPW%,TBs,TB_W%,TB/S,Sets,S_W%,Gms,G_W%,Sec/Pt,Nationality,Sec_Set,Time_Mt_sec
1,Jannik Sinner,85,0.9179999999999999,0.708,0.696,639,0.096,162,0.024,0.064,0.622,0.79,0.573,0.612,0.9129999999999999,6.0,1.8,85,0.402,0.41700000000000004,0.081,0.031,0.313,0.5489999999999999,0.27,6.7,2.7,25.5,38.8,85,0.41700000000000004,291,698,0.65,3.1,8.2,1.28,3.4,0.7390000000000001,272,368,0.33,1.6,4.3,0.42,1.1,85,1.37,13890,0.5479999999999999,40,0.725,0.175,228,0.816,2184,0.595,40.5,ITA,2466.0,110.0
2,Carlos Alcaraz,66,0.8029999999999999,0.68,0.679,290,0.06,125,0.026000000000000002,0.076,0.66,0.7340000000000001,0.5760000000000001,0.624,0.865,6.1,1.9,66,0.41600000000000004,0.415,0.048,0.037000000000000005,0.34299999999999997,0.547,0.31,6.7,2.8,28.5,56.3,66,0.41700000000000004,247,592,0.74,3.5,9.0,1.44,3.7,0.6459999999999999,197,305,0.38,1.8,4.6,0.63,1.6,66,1.3,10163,0.542,29,0.586,0.17,171,0.7490000000000001,1595,0.588,35.3,ESP,2100.0,91.0
3,Alexander Zverev,86,0.7440000000000001,0.6970000000000001,0.679,789,0.111,182,0.026000000000000002,0.091,0.718,0.759,0.54,0.594,0.89,6.1,1.9,86,0.377,0.386,0.065,0.025,0.299,0.51,0.22399999999999998,6.6,2.5,33.5,54.0,86,0.366,261,714,0.61,3.0,8.3,1.11,3.0,0.684,277,405,0.35,1.7,4.7,0.54,1.5,86,1.24,14810,0.53,50,0.56,0.212,236,0.682,2322,0.556,40.0,GER,2514.0,115.0
4,Novak Djokovic,58,0.81,0.691,0.682,412,0.09,135,0.03,0.08199999999999999,0.6409999999999999,0.7609999999999999,0.5660000000000001,0.616,0.8690000000000001,6.0,1.9,58,0.40299999999999997,0.419,0.08199999999999999,0.032,0.32299999999999995,0.5429999999999999,0.27699999999999997,6.6,2.7,27.0,56.9,58,0.408,205,503,0.68,3.2,8.7,1.29,3.5,0.645,180,279,0.37,1.8,4.8,0.62,1.7,58,1.3,9448,0.5429999999999999,27,0.667,0.17,159,0.736,1497,0.5770000000000001,37.8,SRB,2244.0,103.0
5,Daniil Medvedev,71,0.718,0.642,0.647,482,0.08,309,0.051,0.136,0.621,0.733,0.493,0.57,0.807,6.5,2.3,71,0.397,0.40299999999999997,0.06,0.028999999999999998,0.319,0.532,0.271,6.6,2.6,31.0,34.1,71,0.435,253,581,0.62,3.0,8.2,1.3,3.6,0.624,296,474,0.51,2.4,6.7,0.92,2.5,71,1.11,12147,0.518,33,0.727,0.17,194,0.655,1854,0.537,39.5,RUS,2472.0,113.0
6,Taylor Fritz,72,0.708,0.7020000000000001,0.6729999999999999,774,0.135,133,0.023,0.062,0.628,0.785,0.562,0.599,0.887,6.0,1.8,72,0.36,0.36200000000000004,0.071,0.037000000000000005,0.281,0.496,0.205,6.4,2.3,41.0,60.3,72,0.38299999999999995,190,496,0.53,2.6,6.9,0.98,2.6,0.69,240,348,0.36,1.8,4.8,0.56,1.5,72,1.21,11678,0.528,37,0.649,0.191,194,0.665,1887,0.551,37.5,USA,2262.0,101.0
7,Andrey Rublev,72,0.639,0.674,0.66,590,0.10099999999999999,183,0.031,0.08199999999999999,0.62,0.759,0.534,0.5820000000000001,0.867,6.3,2.0,72,0.375,0.39,0.098,0.037000000000000005,0.284,0.519,0.21100000000000002,6.6,2.5,47.0,56.9,72,0.358,196,547,0.59,2.9,7.6,1.05,2.7,0.691,280,405,0.43,2.2,5.6,0.67,1.7,72,1.15,12010,0.521,35,0.4,0.187,187,0.594,1868,0.54,38.3,RUS,2460.0,106.0
8,Casper Ruud,72,0.6940000000000001,0.6659999999999999,0.659,393,0.07200000000000001,146,0.027000000000000003,0.078,0.655,0.728,0.5479999999999999,0.594,0.8420000000000001,6.3,2.1,72,0.381,0.39299999999999996,0.085,0.036000000000000004,0.301,0.509,0.24600000000000002,6.5,2.5,38.5,75.5,72,0.39399999999999996,210,533,0.62,2.8,7.4,1.12,2.9,0.645,249,386,0.45,2.1,5.4,0.73,1.9,72,1.14,10977,0.523,28,0.643,0.149,188,0.633,1719,0.546,37.8,NOR,2208.0,96.0
9,Grigor Dimitrov,67,0.731,0.693,0.693,536,0.102,237,0.045,0.11699999999999999,0.616,0.7959999999999999,0.527,0.597,0.875,6.0,1.9,67,0.374,0.39,0.095,0.034,0.289,0.513,0.218,6.6,2.5,40.0,49.4,67,0.377,185,491,0.58,2.8,7.3,1.04,2.8,0.674,225,334,0.38,1.9,5.0,0.61,1.6,67,1.22,10894,0.528,37,0.6759999999999999,0.20800000000000002,178,0.68,1722,0.551,40.4,BUL,2472.0,109.0
10,Alex De Minaur,63,0.73,0.643,0.644,283,0.059000000000000004,163,0.034,0.076,0.551,0.72,0.5489999999999999,0.594,0.8029999999999999,6.2,2.2,63,0.42700000000000005,0.42700000000000005,0.051,0.038,0.34600000000000003,0.552,0.321,6.8,2.9,36.5,78.9,63,0.436,251,576,0.74,3.4,9.1,1.5,4.0,0.602,230,382,0.5,2.3,6.1,0.91,2.4,63,1.2,10075,0.529,17,0.647,0.102,167,0.677,1553,0.56,39.1,AUS,2358.0,104.0
