Rk,Player,M_serve,M_W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,M_return,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,M_more,DR,Points,TPW%,TBs,TB_W%,TB/S,Sets,S_W%,Gms,G_W%,Sec/Pt,Nationality,Sec_Set,Time_Mt_sec
38,Brandon Nakashima,45,0.7559999999999999,0.6779999999999999,0.654,353,0.109,70,0.022000000000000002,0.062,0.65,0.7490000000000001,0.546,0.5820000000000001,0.8740000000000001,6.4,2.1,45,0.386,0.396,0.079,0.035,0.313,0.504,0.23399999999999999,6.7,2.6,173.0,200.4,45,0.38299999999999995,116,303,0.61,2.9,6.7,1.12,2.6,0.7120000000000001,158,222,0.44,2.1,4.9,0.62,1.4,45,1.2,6571,0.53,20,0.7,0.192,104,0.7120000000000001,1003,0.5579999999999999,42.4,USA,2682.0,103.0
76,Bu Yunchaokete,46,0.7170000000000001,0.63,0.616,259,0.076,83,0.024,0.055999999999999994,0.569,0.705,0.531,0.563,0.8029999999999999,6.6,2.4,46,0.41,0.415,0.07200000000000001,0.044000000000000004,0.32899999999999996,0.529,0.305,6.4,2.6,256.0,336.5,46,0.44299999999999995,159,359,0.69,3.3,7.8,1.45,3.5,0.652,191,293,0.56,2.7,6.4,0.93,2.2,46,1.11,6748,0.522,15,0.4,0.136,110,0.655,1041,0.5529999999999999,45.8,CHN,2814.0,112.0
103,Adam Walton,55,0.6729999999999999,0.667,0.6579999999999999,294,0.078,100,0.026000000000000002,0.069,0.618,0.741,0.546,0.5870000000000001,0.8340000000000001,6.2,2.1,55,0.38799999999999996,0.39899999999999997,0.083,0.038,0.312,0.503,0.255,6.4,2.5,258.0,303.8,55,0.44,155,352,0.58,2.8,6.4,1.23,2.8,0.602,153,254,0.42,2.0,4.6,0.8,1.8,55,1.17,7675,0.525,28,0.643,0.222,126,0.643,1216,0.545,45.0,AUS,2742.0,105.0
104,Damir Dzumhur,47,0.7659999999999999,0.618,0.631,42,0.013000000000000001,88,0.027999999999999997,0.09,0.688,0.657,0.5329999999999999,0.585,0.7490000000000001,6.3,2.4,47,0.44,0.434,0.049,0.048,0.36200000000000004,0.552,0.363,6.6,2.9,234.5,272.8,47,0.439,181,412,0.83,3.8,8.8,1.68,3.9,0.542,148,273,0.55,2.5,5.8,1.16,2.7,47,1.15,6424,0.527,8,0.375,0.07400000000000001,108,0.667,996,0.556,44.7,BIH,2658.0,102.0
105,Camilo Ugo Carabelli,63,0.73,0.597,0.601,161,0.035,138,0.03,0.08199999999999999,0.632,0.6629999999999999,0.483,0.526,0.725,6.6,2.7,63,0.447,0.435,0.023,0.039,0.379,0.56,0.386,6.7,3.0,259.0,283.3,63,0.478,270,565,0.81,3.8,9.0,1.82,4.3,0.598,284,475,0.68,3.2,7.5,1.29,3.0,63,1.11,9239,0.521,21,0.619,0.142,148,0.662,1394,0.555,49.1,ARG,3066.0,120.0
106,Harold Mayot,46,0.609,0.628,0.62,273,0.08900000000000001,129,0.042,0.11199999999999999,0.624,0.705,0.5,0.563,0.79,6.5,2.4,46,0.374,0.381,0.075,0.036000000000000004,0.307,0.483,0.24600000000000002,6.2,2.3,168.0,222.1,46,0.45299999999999996,116,256,0.54,2.6,5.6,1.16,2.5,0.649,183,282,0.6,2.8,6.1,0.99,2.2,46,1.01,5987,0.504,16,0.5,0.16,100,0.58,943,0.519,41.7,FRA,2496.0,90.0
107,Hugo Dellien,61,0.721,0.639,0.643,119,0.03,89,0.023,0.08,0.716,0.682,0.53,0.5760000000000001,0.784,6.2,2.2,61,0.42700000000000005,0.42,0.040999999999999995,0.042,0.35200000000000004,0.552,0.341,6.6,2.8,264.0,284.5,61,0.439,212,483,0.78,3.4,7.9,1.49,3.5,0.615,217,353,0.56,2.5,5.8,0.96,2.2,61,1.18,8044,0.53,17,0.588,0.12,142,0.6759999999999999,1253,0.564,43.3,BOL,2454.0,95.0
108,Alexander Ritschard,50,0.74,0.622,0.635,128,0.035,150,0.040999999999999995,0.10300000000000001,0.603,0.6829999999999999,0.53,0.591,0.795,6.6,2.5,50,0.426,0.423,0.044000000000000004,0.037000000000000005,0.363,0.529,0.32299999999999995,6.8,2.9,239.0,261.8,50,0.39399999999999996,182,462,0.82,3.9,9.2,1.56,3.6,0.617,184,298,0.54,2.5,6.0,0.97,2.3,50,1.13,7519,0.521,18,0.667,0.154,117,0.684,1121,0.5579999999999999,44.6,SUI,2862.0,112.0
109,Jesper De Jong,45,0.667,0.628,0.629,214,0.069,134,0.043,0.10300000000000001,0.5820000000000001,0.727,0.49,0.546,0.769,6.2,2.3,45,0.425,0.415,0.035,0.040999999999999995,0.368,0.519,0.342,6.7,2.8,255.0,289.2,45,0.43200000000000005,165,382,0.79,3.6,8.5,1.57,3.7,0.617,185,300,0.6,2.9,6.7,1.1,2.6,45,1.14,6330,0.524,9,0.444,0.086,105,0.638,981,0.5589999999999999,47.7,NED,2880.0,112.0
111,Mikhail Kukushkin,45,0.644,0.6409999999999999,0.636,133,0.040999999999999995,48,0.015,0.044000000000000004,0.6659999999999999,0.6970000000000001,0.53,0.555,0.81,6.5,2.3,45,0.385,0.406,0.106,0.037000000000000005,0.294,0.523,0.244,6.5,2.5,194.0,228.8,45,0.414,122,295,0.59,2.8,6.6,1.15,2.7,0.6609999999999999,187,283,0.56,2.7,6.3,0.91,2.1,45,1.07,6534,0.513,22,0.545,0.20800000000000002,106,0.604,1005,0.527,45.3,KAZ,2796.0,110.0
112,Billy Harris,47,0.532,0.642,0.636,274,0.078,128,0.036000000000000004,0.095,0.618,0.731,0.498,0.55,0.81,6.5,2.3,47,0.344,0.35200000000000004,0.083,0.032,0.251,0.502,0.177,6.3,2.2,177.0,243.2,47,0.391,95,243,0.45,2.2,5.2,0.86,2.0,0.644,186,289,0.53,2.6,6.1,0.93,2.2,47,0.96,6922,0.495,23,0.565,0.207,111,0.505,1078,0.494,43.7,GBR,2724.0,107.0
116,Duje Ajdukovic,47,0.638,0.648,0.631,329,0.096,98,0.028999999999999998,0.075,0.615,0.7340000000000001,0.511,0.5529999999999999,0.8190000000000001,6.4,2.2,47,0.382,0.382,0.07200000000000001,0.044000000000000004,0.307,0.5,0.243,6.4,2.4,230.0,296.5,47,0.43,131,305,0.56,2.7,6.5,1.18,2.8,0.615,155,252,0.47,2.3,5.4,0.87,2.1,47,1.09,6856,0.515,19,0.526,0.171,111,0.595,1077,0.53,37.8,CRO,2340.0,92.0
122,Benjamin Bonzi,54,0.667,0.647,0.635,354,0.091,134,0.034,0.086,0.599,0.7190000000000001,0.5379999999999999,0.589,0.795,6.3,2.2,54,0.40299999999999997,0.41100000000000003,0.07200000000000001,0.036000000000000004,0.325,0.531,0.289,6.6,2.7,234.0,238.3,54,0.439,174,396,0.66,3.1,7.3,1.38,3.2,0.586,178,304,0.49,2.4,5.6,1.0,2.3,54,1.14,7885,0.523,21,0.667,0.16699999999999998,126,0.627,1218,0.544,41.2,FRA,2580.0,100.0
125,Chun Hsin Tseng,51,0.667,0.613,0.62,117,0.033,116,0.032,0.07200000000000001,0.547,0.696,0.512,0.551,0.764,6.6,2.6,51,0.419,0.41100000000000003,0.044000000000000004,0.045,0.34,0.535,0.313,6.6,2.8,222.0,274.8,51,0.42700000000000005,166,389,0.73,3.3,7.6,1.42,3.3,0.634,220,347,0.64,3.0,6.8,1.09,2.5,51,1.08,7070,0.517,11,0.545,0.094,117,0.607,1070,0.54,48.0,TPE,2898.0,111.0
129,Roman Andres Burruchaga,60,0.667,0.591,0.614,96,0.022000000000000002,225,0.051,0.129,0.604,0.655,0.49200000000000005,0.565,0.711,6.6,2.7,60,0.45299999999999996,0.43799999999999994,0.031,0.05,0.384,0.555,0.382,6.7,3.0,244.0,299.1,60,0.491,254,517,0.78,3.6,8.6,1.75,4.2,0.593,280,472,0.71,3.3,7.9,1.32,3.2,60,1.11,8836,0.522,13,0.615,0.09,145,0.614,1330,0.547,47.0,ARG,2862.0,115.0
135,Marco Trungelliti,46,0.609,0.606,0.614,139,0.040999999999999995,132,0.039,0.09699999999999999,0.6,0.6779999999999999,0.498,0.552,0.745,6.8,2.7,46,0.406,0.405,0.053,0.037000000000000005,0.32799999999999996,0.53,0.295,6.6,2.7,311.5,403.7,46,0.43799999999999994,148,338,0.67,3.1,7.3,1.35,3.2,0.627,215,343,0.68,3.1,7.5,1.16,2.8,46,1.03,6677,0.508,14,0.429,0.127,110,0.564,1002,0.52,43.4,ARG,2640.0,105.0
142,Seong Chan Hong,54,0.574,0.61,0.607,218,0.055999999999999994,120,0.031,0.08,0.61,0.6759999999999999,0.508,0.552,0.745,6.5,2.5,54,0.396,0.386,0.039,0.04,0.32299999999999995,0.502,0.272,6.5,2.6,253.0,299.5,54,0.429,166,387,0.63,3.0,7.2,1.29,3.1,0.601,229,381,0.64,3.0,7.1,1.18,2.8,54,1.02,7809,0.502,17,0.588,0.132,129,0.535,1207,0.505,46.9,KOR,2838.0,113.0
145,Coleman Wong,60,0.583,0.631,0.609,437,0.09699999999999999,120,0.027000000000000003,0.065,0.588,0.721,0.502,0.537,0.787,6.5,2.4,60,0.38,0.377,0.065,0.045,0.303,0.501,0.233,6.5,2.5,275.0,311.8,60,0.38299999999999995,162,423,0.61,2.9,7.1,1.13,2.7,0.612,233,381,0.55,2.6,6.4,1.03,2.5,60,1.03,9011,0.505,26,0.615,0.18100000000000002,144,0.556,1389,0.51,42.4,HKG,2652.0,106.0
146,Mitchell Krueger,45,0.6,0.638,0.635,185,0.059000000000000004,94,0.03,0.08,0.624,0.703,0.529,0.575,0.787,6.3,2.3,45,0.396,0.401,0.07400000000000001,0.04,0.312,0.511,0.268,6.6,2.6,276.0,336.6,45,0.418,133,318,0.64,3.1,7.1,1.3,3.0,0.588,150,255,0.52,2.5,5.7,1.03,2.3,45,1.09,6386,0.514,19,0.632,0.18600000000000003,102,0.588,991,0.527,45.1,USA,2820.0,107.0
149,Juan Manuel Cerundolo,52,0.615,0.585,0.594,131,0.038,146,0.043,0.106,0.598,0.649,0.488,0.546,0.696,6.4,2.7,52,0.43200000000000005,0.423,0.028999999999999998,0.037000000000000005,0.36200000000000004,0.5539999999999999,0.348,6.5,2.8,286.0,338.9,52,0.45799999999999996,186,406,0.76,3.5,7.8,1.59,3.6,0.516,174,337,0.63,2.9,6.5,1.39,3.1,52,1.04,6937,0.507,14,0.643,0.12,117,0.59,1072,0.522,47.3,ARG,2802.0,105.0
159,Tristan Boyer,63,0.635,0.626,0.63,254,0.053,179,0.038,0.098,0.615,0.7020000000000001,0.505,0.56,0.777,6.5,2.4,63,0.4,0.386,0.038,0.046,0.332,0.498,0.27699999999999997,6.5,2.6,253.0,319.4,63,0.43799999999999994,197,450,0.63,3.0,7.1,1.3,3.1,0.588,231,393,0.54,2.6,6.2,1.07,2.6,63,1.07,9372,0.515,26,0.5770000000000001,0.172,151,0.5760000000000001,1439,0.53,46.5,USA,2886.0,115.0
165,Titouan Droguet,51,0.667,0.6509999999999999,0.633,318,0.091,88,0.025,0.06,0.5820000000000001,0.738,0.529,0.563,0.821,6.3,2.2,51,0.379,0.37200000000000005,0.039,0.033,0.32899999999999996,0.46399999999999997,0.237,6.4,2.4,234.0,281.6,51,0.42200000000000004,127,301,0.56,2.7,5.9,1.12,2.5,0.607,153,252,0.46,2.2,4.9,0.88,1.9,51,1.08,6933,0.516,19,0.684,0.168,113,0.6459999999999999,1089,0.534,42.0,FRA,2580.0,95.0
168,Maks Kasnikowski,55,0.564,0.625,0.627,222,0.052000000000000005,148,0.035,0.08199999999999999,0.5760000000000001,0.715,0.501,0.546,0.773,6.5,2.4,55,0.39299999999999996,0.392,0.068,0.045,0.313,0.508,0.255,6.7,2.6,242.0,301.6,55,0.40299999999999997,166,412,0.63,3.1,7.5,1.27,3.0,0.596,220,369,0.56,2.8,6.7,1.14,2.7,55,1.05,8580,0.508,28,0.536,0.214,131,0.565,1305,0.515,45.7,POL,2988.0,119.0
170,Henrique Rocha,45,0.556,0.608,0.625,174,0.055,191,0.06,0.133,0.5489999999999999,0.6990000000000001,0.49700000000000005,0.574,0.745,6.6,2.6,45,0.406,0.39799999999999996,0.031,0.033,0.35,0.499,0.275,6.7,2.7,259.5,357.0,45,0.40399999999999997,136,337,0.68,3.2,7.5,1.3,3.0,0.606,189,312,0.65,3.0,6.9,1.17,2.7,45,1.03,6464,0.505,13,0.462,0.124,105,0.5329999999999999,977,0.508,44.0,POR,2706.0,105.0
